Date,Price
1-Jan-2013,94.76
1-Feb-2013,95.31
1-Mar-2013,92.94
1-Apr-2013,92.02
1-May-2013,94.51
1-Jun-2013,95.77
1-Jul-2013,104.67
1-Aug-2013,106.57
1-Sep-2013,106.29
1-Oct-2013,100.54
1-Nov-2013,93.86
1-Dec-2013,97.63
1-Jan-2014,94.62
1-Feb-2014,100.82
1-Mar-2014,100.8
1-Apr-2014,102.07
1-May-2014,102.18
1-Jun-2014,105.79
1-Jul-2014,103.59
1-Aug-2014,96.54
1-Sep-2014,93.21
1-Oct-2014,84.4
1-Nov-2014,75.79
1-Dec-2014,59.29
1-Jan-2015,47.22
1-Feb-2015,50.58
1-Mar-2015,47.82
1-Apr-2015,54.45
1-May-2015,59.27
1-Jun-2015,59.82
1-Jul-2015,50.9
1-Aug-2015,42.87
1-Sep-2015,45.48
1-Oct-2015,46.22
1-Nov-2015,42.44
1-Dec-2015,37.19
1-Jan-2016,31.68
1-Feb-2016,30.32
1-Mar-2016,37.55
1-Apr-2016,40.75
1-May-2016,46.71
1-Jun-2016,48.76
1-Jul-2016,44.65
1-Aug-2016,44.72
1-Sep-2016,45.18
1-Oct-2016,49.78
1-Nov-2016,45.66
1-Dec-2016,51.97
1-Jan-2017,52.5
1-Feb-2017,53.47
1-Mar-2017,49.33
1-Apr-2017,51.06
1-May-2017,48.48
1-Jun-2017,45.18
1-Jul-2017,46.63
1-Aug-2017,48.04
1-Sep-2017,49.82
1-Oct-2017,51.58
1-Nov-2017,56.64
1-Dec-2017,57.88
1-Jan-2018,63.7
1-Feb-2018,62.23
1-Mar-2018,62.73
1-Apr-2018,66.25
1-May-2018,69.98
1-Jun-2018,67.87
1-Jul-2018,70.98
1-Aug-2018,68.06
1-Sep-2018,70.23
1-Oct-2018,70.75
1-Nov-2018,56.96
1-Dec-2018,49.52
1-Jan-2019,51.38
1-Feb-2019,54.95
1-Mar-2019,58.15
1-Apr-2019,63.86
1-May-2019,60.83
1-Jun-2019,54.66
1-Jul-2019,57.35
1-Aug-2019,54.81
1-Sep-2019,56.95
1-Oct-2019,53.96
1-Nov-2019,57.03
1-Dec-2019,59.88
1-Jan-2020,57.52
1-Feb-2020,50.54
1-Mar-2020,29.21
1-Apr-2020,16.55
1-May-2020,28.56
1-Jun-2020,38.31
1-Jul-2020,40.71
1-Aug-2020,42.34
1-Sep-2020,39.63
1-Oct-2020,39.4
1-Nov-2020,40.94
1-Dec-2020,47.02
1-Jan-2021,52
1-Feb-2021,59.04
1-Mar-2021,62.33
1-Apr-2021,61.72
1-May-2021,65.17
1-Jun-2021,71.38
1-Jul-2021,72.49
1-Aug-2021,67.73
1-Sep-2021,71.65
1-Oct-2021,81.48
1-Nov-2021,79.15
1-Dec-2021,71.71
1-Jan-2022,83.22
1-Feb-2022,91.64
1-Mar-2022,108.5
1-Apr-2022,101.78
1-May-2022,109.55
1-Jun-2022,114.84
1-Jul-2022,101.62
1-Aug-2022,93.67
1-Sep-2022,84.26
1-Oct-2022,87.55
1-Nov-2022,84.37
1-Dec-2022,76.44
1-Jan-2023,78.12
1-Feb-2023,76.83
1-Mar-2023,73.28
1-Apr-2023,79.45
1-May-2023,71.58
1-Jun-2023,70.25
