Date,Price
1-Jan-13,1.9
1-Feb-13,2
1-Mar-13,1.9
1-Apr-13,1.7
1-May-13,1.7
1-Jun-13,1.6
1-Jul-13,1.7
1-Aug-13,1.8
1-Sep-13,1.7
1-Oct-13,1.7
1-Nov-13,1.7
1-Dec-13,1.7
1-Jan-14,1.6
1-Feb-14,1.6
1-Mar-14,1.7
1-Apr-14,1.8
1-May-14,2
1-Jun-14,1.9
1-Jul-14,1.9
1-Aug-14,1.7
1-Sep-14,1.7
1-Oct-14,1.8
1-Nov-14,1.7
1-Dec-14,1.6
1-Jan-15,1.6
1-Feb-15,1.7
1-Mar-15,1.8
1-Apr-15,1.8
1-May-15,1.7
1-Jun-15,1.8
1-Jul-15,1.8
1-Aug-15,1.8
1-Sep-15,1.9
1-Oct-15,1.9
1-Nov-15,2
1-Dec-15,2.1
1-Jan-16,2.2
1-Feb-16,2.3
1-Mar-16,2.2
1-Apr-16,2.1
1-May-16,2.2
1-Jun-16,2.2
1-Jul-16,2.2
1-Aug-16,2.3
1-Sep-16,2.2
1-Oct-16,2.1
1-Nov-16,2.1
1-Dec-16,2.2
1-Jan-17,2.3
1-Feb-17,2.2
1-Mar-17,2
1-Apr-17,1.9
1-May-17,1.7
1-Jun-17,1.7
1-Jul-17,1.7
1-Aug-17,1.7
1-Sep-17,1.7
1-Oct-17,1.8
1-Nov-17,1.7
1-Dec-17,1.8
1-Jan-18,1.8
1-Feb-18,1.8
1-Mar-18,2.1
1-Apr-18,2.1
1-May-18,2.2
1-Jun-18,2.3
1-Jul-18,2.4
1-Aug-18,2.2
1-Sep-18,2.2
1-Oct-18,2.1
1-Nov-18,2.2
1-Dec-18,2.2
1-Jan-19,2.2
1-Feb-19,2.1
1-Mar-19,2
1-Apr-19,2.1
1-May-19,2
1-Jun-19,2.1
1-Jul-19,2.2
1-Aug-19,2.4
1-Sep-19,2.4
1-Oct-19,2.3
1-Nov-19,2.3
1-Dec-19,2.3
1-Jan-20,2.3
1-Feb-20,2.4
1-Mar-20,2.1
1-Apr-20,1.4
1-May-20,1.2
1-Jun-20,1.2
1-Jul-20,1.6
1-Aug-20,1.7
1-Sep-20,1.7
1-Oct-20,1.6
1-Nov-20,1.6
1-Dec-20,1.6
1-Jan-21,1.4
1-Feb-21,1.3
1-Mar-21,1.6
1-Apr-21,3
1-May-21,3.8
1-Jun-21,4.5
1-Jul-21,4.3
1-Aug-21,4
1-Sep-21,4
1-Oct-21,4.6
1-Nov-21,4.9
1-Dec-21,5.5
1-Jan-22,6
1-Feb-22,6.4
1-Mar-22,6.5
1-Apr-22,6.2
1-May-22,6
1-Jun-22,5.9
1-Jul-22,5.9
1-Aug-22,6.3
1-Sep-22,6.6
1-Oct-22,6.3
1-Nov-22,6
1-Dec-22,5.7
1-Jan-23,5.6
1-Feb-23,5.5
1-Mar-23,5.6
1-Apr-23,5.5
1-May-23,5.3
1-Jun-23,4.8
